			School				Cost				Effect					% Chance to gain									AI value				Right click text				
Tarcza powietrza	Tarcza powietrza	3	 	 	 	x	12	9	9	9	0	75	75	50	50	4	8	8	2	4	4	8	4	4	20	20	50	50	"{Tarcza powietrza}

Os³ania wybrany oddzia³ redukuj¹c iloœæ ran,  jakich móg³by on doznaæ znajduj¹c siê pod ostrza³em wroga."	"{Tarcza powietrza - poziom podstawowy}

Os³ania wybrany oddzia³ redukuj¹c iloœæ ran,  jakich móg³by on doznaæ znajduj¹c siê pod ostrza³em wroga.
"	"{Tarcza powietrza - poziom zaawansowany}

Os³ania wybrany oddzia³ redukuj¹c iloœæ ran,  jakich móg³by on doznaæ znajduj¹c siê pod ostrza³em wroga.

Zaklêcie jest dwa razy bardziej skuteczne ni¿ na poziomie podstawowym.
"	"{Tarcza powietrza - poziom mistrzowski}

Os³ania wybrany oddzia³ redukuj¹c iloœæ ran,  jakich móg³by on doznaæ znajduj¹c siê pod ostrza³em wroga.

Zaklêcie jest dwa razy bardziej skuteczne ni¿ na poziomie podstawowym.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Tarcza ognia	Tarcza ognia	4	 	 	x	 	16	12	12	12	0	20	20	25	30	5	5	5	5	5	5	0	0	5	10	10	12	15	"{Tarcza ognia}

Tarcza ognia nie chroni przed atakiem, ale sprawia ¿e atakuj¹cy oddzia³ wroga bêdzie równie¿ otrzymywa³ obra¿enia równe tym, jakie sam zada³."	"{Tarcza ognia - poziom podstawowy}

Tarcza ognia nie chroni przed atakiem, ale sprawia ¿e atakuj¹cy oddzia³ wroga bêdzie równie¿ otrzymywa³ obra¿enia równe tym, jakie sam zada³."	"{Tarcza ognia - poziom zaawansowany}

Tarcza ognia nie chroni przed atakiem, ale sprawia ¿e atakuj¹cy oddzia³ wroga bêdzie równie¿ otrzymywa³ obra¿enia równe tym, jakie sam zada³.

Zadaje wrogom dodatkowe 5% obra¿eñ.
"	"{Tarcza ognia - poziom mistrzowski}

Tarcza ognia nie chroni przed atakiem, ale sprawia ¿e atakuj¹cy oddzia³ wroga bêdzie równie¿ otrzymywa³ obra¿enia równe tym, jakie sam zada³.

Zadaje wrogom dodatkowe 10% obra¿eñ.
"	 COMBAT_SPELL|CREATURE_TARGET
Ochr. przed powietrzem	Ochr. powietrze	2		 	 	x	7	5	5	5	0	70	70	50	50	2	2	2	4	2	2	2	2	2	2	2	4	4	"{Ochrona przed powietrzem}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii powietrza.
"	"{Ochrona przed powietrzem - poziom podstawowy}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii powietrza.
"	"{Ochrona przed powietrzem - poziom zaawansowany}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii powietrza.

Ochrona jest prawie dwa razy bardziej skuteczna ni¿ w wypadku zaklêcia Ochrona przed powietrzem - poziom podstawowy.
"	"{Ochrona przed powietrzem - poziom mistrzowski}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii powietrza.

Ochrona jest prawie dwa razy bardziej skuteczna ni¿ w wypadku zaklêcia Ochrona przed powietrzem - poziom podstawowy.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Ochrona przed ogniem	Ochr. ogieñ	1	 		x	 	5	4	4	4	0	70	70	50	50	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Ochrona przed ogniem}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii ognia.
"	"{Ochrona przed ogniem - poziom podstawowy}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii ognia.
"	"{Ochrona przed ogniem - poziom zaawansowany}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii ognia.

Ochrona jest prawie dwa razy bardziej skuteczna ni¿ w wypadku zaklêcia Ochrona przed ogniem - poziom podstawowy.
"	"{Ochrona przed ogniem - poziom mistrzowski}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii ognia.

Ochrona jest prawie dwa razy bardziej skuteczna ni¿ w wypadku zaklêcia Ochrona przed ogniem - poziom podstawowy.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Ochrona przed wod¹	Ochr. woda	1		x			5	4	4	4	0	70	70	50	50	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Ochrona przed wod¹}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii wody.
"	"{Ochrona przed wod¹ - poziom podstawowy}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii wody.
"	"{Ochrona przed wod¹ - poziom zaawansowany}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii wody.

Ochrona jest prawie dwa razy bardziej skuteczna ni¿ w wypadku zaklêcia Ochrona przed wod¹ - poziom podstawowy.
"	"{Ochrona przed wod¹ - poziom mistrzowski}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii wody.

Ochrona jest prawie dwa razy bardziej skuteczna ni¿ w wypadku zaklêcia Ochrona przed wod¹ - poziom podstawowy.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Ochrona przed ziemi¹	Ochr. ziemia	3	x				12	9	9	9	0	70	70	50	50	4	4	4	2	4	4	4	0	4	2	2	4	4	"{Ochrona przed ziemi¹}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii ziemi.
"	"{Ochrona przed ziemi¹ - poziom podstawowy}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii ziemi.
"	"{Anty¿ywio³ ziem - poziom zaawansowany}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii ziemi.

Ochrona jest prawie dwa razy bardziej skuteczna ni¿ w wypadku zaklêcia Ochrona przed ziemi¹ - poziom podstawowy.
"	"{Ochrona przed ziemi¹ - poziom mistrzowski}

Chroni wybrany oddzia³ zmniejszaj¹c obra¿enia zadawane przez zaklêcia oparte na magii ziemi.

Ochrona jest prawie dwa razy bardziej skuteczna ni¿ w wypadku zaklêcia Ochrona przed ziemi¹ - poziom podstawowy.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Antymagia	Antymagia	3	x	 	 	 	15	12	12	12	0	4	4	5	6	12	8	8	4	8	8	12	10	12	10	10	15	20	"{Antymagia}

Chroni oddzia³ przed zaklêciami niskich poziomów.
"	"{Antymagia - poziom podstawowy}

Chroni oddzia³ przed zaklêciami niskich poziomów.
"	"{Antymagia - poziom zaawansowany}

Chroni oddzia³ przed prawie wszystkimi zaklêciami z wyj¹tkiem najpotê¿niejszych.
"	"{Antymagia - poziom mistrzowski}

Chroni oddzia³ przed wszystkimi zaklêciami.
"	 COMBAT_SPELL|CREATURE_TARGET
Rozproszenie	Rozproszenie	1	 	x	 	 	5	4	4	4	0	0	0	0	0	10	10	10	10	10	10	10	10	10	3	3	3	3	"{Rozproszenie}

Usuwa dzia³anie wszystkich czarów, pod których wp³ywem znajduje siê w³asny oddzia³.
"	"{Rozproszenie - poziom podstawowy}

Usuwa dzia³anie wszystkich czarów pod których wp³ywem znajduje siê w³asny oddzia³.
"	"{Rozproszenie - poziom zaawansowany}

Usuwa dzia³anie wszystkich czarów pod których wp³ywem znajduje siê w³asny lub wrogi oddzia³.
"	"{Rozproszenie - poziom mistrzowski}

Usuwa dzia³anie wszystkich czarów pod których wp³ywem znajduj¹ siê wszystkie oddzia³y na polu bitwy.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Magiczne zwierciad³o	Mag. zwierciad³o	5	 	 	 	x	25	20	20	20	0	20	20	30	40	0	16	14	0	0	12	0	0	13	12	12	18	24	"{Magiczne zwierciad³o}

Odwraca dzia³anie wrogich zaklêæ odsy³aj¹c je w kierunku losowej jednostki wroga. Szansa powodzenia wynosi 20%.
"	"{Magiczne zwierciad³o - poziom podstawowy}

Odwraca dzia³anie wrogich zaklêæ odsy³aj¹c je w kierunku losowej jednostki wroga. Szansa powodzenia wynosi 20%."	"{Magiczne zwierciad³o - poziom zaawansowany}

Odwraca dzia³anie wrogich zaklêæ odsy³aj¹c je w kierunku losowej jednostki wroga. Szansa powodzenia wynosi 30%.
"	"{Magiczne zwierciad³o - poziom mistrzowski}

Odwraca dzia³anie wrogich zaklêæ odsy³aj¹c je w kierunku losowej jednostki wroga. Szansa powodzenia wynosi 40%."	 COMBAT_SPELL|CREATURE_TARGET
Uleczenie	Uleczenie	1	 	x	 	 	6	5	5	5	5	10	10	20	30	10	10	5	5	0	5	5	10	5	4	4	4	4	"{Uleczenie}

Usuwa dzia³anie wszystkich negatywnych zaklêæ oraz regeneruje czêœæ punktów ¿ycia wybranego oddzia³u.
"	"{Uleczenie - poziom podstawowy}

Usuwa dzia³anie wszystkich negatywnych zaklêæ oraz regeneruje czêœæ punktów ¿ycia wybranego oddzia³u.
"	"{Uleczenie - poziom zaawansowany}

Usuwa dzia³anie wszystkich negatywnych zaklêæ oraz regeneruje czêœæ punktów ¿ycia wybranego oddzia³u.

Regenerowane jest dodatkowe 10 punktów ¿ycia wiêcej ni¿ w przypadku zaklêcia Uleczenie - poziom podstawowy.
"	"{Wzmocnienie - poziom mistrzowski}

Usuwa dzia³anie wszystkich negatywnych zaklêæ oraz regeneruje czêœæ punktów ¿ycia wybranego oddzia³u.

Regenerowane jest dodatkowe 10 punktów ¿ycia wiêcej ni¿ w przypadku zaklêcia Uleczenie - poziom podstawowy.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Wskrzeszenie	Wskrzeszenie	4	x				20	16	16	16	50	40	40	80	160	10	10	10	10	0	10	0	0	5	50	50	60	120	"{Wskrzeszenie}

Wskrzesza jednostki z wybranego oddzia³u zwracaj¹c mu okreœlon¹ iloœæ punktów ¿ycia.
"	"{Wskrzeszenie - poziom podstawowy}

Wskrzesza jednostki z wybranego oddzia³u zwracaj¹c mu okreœlon¹ iloœæ punktów ¿ycia.
"	"{Wskrzeszenie - poziom zaawansowany}

Wskrzesza jednostki z wybranego oddzia³u zwracaj¹c mu okreœlon¹ iloœæ punktów ¿ycia.

Dodaje 40 punktów ¿ycia wiêcej ni¿  w przypadku zaklêcia Wskrzeszenie - poziom podstawowy.
"	"{Wskrzeszenie - poziom mistrzowski}

Wskrzesza jednostki z wybranego oddzia³u zwracaj¹c mu okreœlon¹ iloœæ punktów ¿ycia.

Dodaje 120 punktów ¿ycia wiêcej ni¿  w przypadku zaklêcia Wskrzeszenie - poziom podstawowy.
"	 COMBAT_SPELL|CREATURE_TARGET
O¿ywienie	O¿ywienie	3	x	 	 	 	15	12	12	12	50	30	30	60	160	0	0	0	0	16	0	0	0	0	60	60	60	120	"{O¿ywienie}

Ponownie o¿ywia zniszczone jednostki nieumar³ych przywracaj¹c wybranemu oddzia³owi pewn¹ iloœæ punktów ¿ycia."	"{O¿ywienie - poziom podstawowy}

Ponownie o¿ywia zniszczone jednostki nieumar³ych przywracaj¹c wybranemu oddzia³owi pewn¹ iloœæ punktów ¿ycia.
"	"{O¿ywienie - poziom zaawansowany}

Ponownie o¿ywia zniszczone jednostki nieumar³ych przywracaj¹c wybranemu oddzia³owi pewn¹ iloœæ punktów ¿ycia.

Dodaje 30 punktów ¿ycia wiêcej ni¿  w przypadku zaklêcia O¿ywienie - poziom podstawowy.
"	"{O¿ywienie - poziom mistrzowski}

Ponownie o¿ywia zniszczone jednostki nieumar³ych przywracaj¹c wybranemu oddzia³owi pewn¹ iloœæ punktów ¿ycia.

Dodaje 130 punktów ¿ycia wiêcej ni¿  w przypadku zaklêcia O¿ywienie - poziom podstawowy."	 COMBAT_SPELL|CREATURE_TARGET
Ofiara	Ofiara	5	 	 	x	 	25	20	20	20	1	3	3	6	10	0	0	0	20	16	12	0	0	0	1	1	1	1	"{Ofiara}

Niszczy jeden z przyjaznych oddzia³ów w zamian wskrzeszaj¹c inny. Iloœæ wskrzeszonych jednostek zale¿y od mocy bohatera oraz iloœci punktów ¿ycia, które posiada³y jednostki z poœwiêconego oddzia³u. "	"{Ofiara - poziom podstawowy}

Niszczy jeden z przyjaznych oddzia³ów w zamian wskrzeszaj¹c inny. iloœæ wskrzeszonych jednostek zale¿y od mocy bohatera oraz iloœci punktów ¿ycia, które posiada³y jednostki z poœwiêconego oddzia³u. 
"	"{Ofiara - poziom zaawansowany}

Niszczy jeden z przyjaznych oddzia³ów w zamian wskrzeszaj¹c inny. iloœæ wskrzeszonych jednostek zale¿y od mocy bohatera oraz iloœci punktów ¿ycia, które posiada³y jednostki z poœwiêconego oddzia³u. 

O¿ywia wiêcej stworzeñ ni¿ zaklêcie Ofiara - poziom podstawowy."	"{Ofiara - poziom mistrzowski}

Niszczy jeden z przyjaznych oddzia³ów w zamian wskrzeszaj¹c inny. iloœæ wskrzeszonych jednostek zale¿y od mocy bohatera oraz iloœci punktów ¿ycia, które posiada³y jednostki z poœwiêconego oddzia³u.

Przywraca wiêcej punktów ¿ycia ni¿ zaklêcie Ofiara - poziom zaawansowany."	 COMBAT_SPELL|CREATURE_TARGET
B³ogos³awieñstwo	B³ogos³awieñstwo	1	 	x	 	 	5	4	4	4	0	0	0	1	1	10	5	5	0	0	3	3	5	5	10	10	11	11	"{B³ogos³awieñstwo}

Wybrany oddzia³ atakuje wroga z najwiêksz¹ mo¿liw¹ dla niego skutecznoœci¹.
"	"{B³ogos³awieñstwo - poziom podstawowy}

Wybrany oddzia³ atakuje wroga z najwiêksz¹ mo¿liw¹ dla niego skutecznoœci¹.
"	"{B³ogos³awieñstwo - poziom zaawansowany}

Wybrany oddzia³ atakuje wroga zadaj¹c mu wiêksze straty ni¿ gdyby atakowa³ z najwiêksz¹ mo¿liw¹ dla niego normalnie skutecznoœci¹."	"{B³ogos³awieñstwo - poziom mistrzowski}

Wszystkie oddzia³y atakuj¹ wroga zadaj¹c mu wiêksze straty ni¿ gdyby atakowa³y z najwiêksz¹ mo¿liw¹ dla nich normalnie skutecznoœci¹.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Kl¹twa	Kl¹twa	1	 		x	 	6	5	5	5	0	0	0	1	1	0	0	3	5	10	5	0	0	0	10	10	11	11	"{Kl¹twa}

Wybrany oddzia³ wroga atakuje z najmniejsz¹ mo¿liw¹ dla niego skutecznoœci¹.
"	"{Kl¹twa - poziom podstawowy}

Wybrany oddzia³ wroga atakuje z najmniejsz¹ mo¿liw¹ dla niego skutecznoœci¹.
"	"{Kl¹twa - poziom zaawansowany}

Wybrany oddzia³ wroga zadaje mniejsze straty ni¿ gdyby atakowa³ z najmniejsz¹ mo¿liw¹ dla niego normalnie skutecznoœci¹."	"{Kl¹twa - poziom mistrzowski}

Wszystkie oddzia³ wroga zadaj¹ mniejsze straty ni¿ gdyby atakowa³y z najmniejsz¹ mo¿liw¹ dla nich normalnie skutecznoœci¹."	 COMBAT_SPELL|CREATURE_TARGET_2
¯¹dza krwi	¯¹dza krwi	1	 	 	x	 	5	4	4	4	0	3	3	6	6	0	0	0	10	5	5	10	5	5	7	7	15	15	"{¯¹dza krwi}

Zwiêksza skutecznoœæ ataku wybranego oddzia³u podczas walki wrêcz.
"	"{¯¹dza krwi - poziom podstawowy}

Zwiêksza skutecznoœæ ataku wybranego oddzia³u podczas walki wrêcz.
"	"{¯¹dza krwi - poziom zaawansowany}

Zwiêksza skutecznoœæ ataku wybranego oddzia³u podczas walki wrêcz.

Dwa razy skuteczniejsze ni¿ zaklêcie ¯¹dza krwi - poziom podstawowy."	"{¯¹dza krwi - poziom mistrzowski}

Zwiêksza skutecznoœæ ataku wszystkich oddzia³ów podczas walki wrêcz.

Dwa razy skuteczniejsze ni¿ zaklêcie ¯¹dza krwi - poziom podstawowy."	 COMBAT_SPELL|CREATURE_TARGET_2
Precyzja	Precyzja	2	 	 	 	x	8	6	6	6	0	3	3	6	6	6	6	4	8	2	6	4	4	2	7	7	15	15	"{Precyzja}

Zwiêksza skutecznoœæ ataku wybranego oddzia³u podczas walki na odleg³oœæ.
"	"{Precyzja - poziom podstawowy}

Zwiêksza skutecznoœæ ataku wybranego oddzia³u podczas walki na odleg³oœæ.
"	"{Precyzja - poziom zaawansowany}

Zwiêksza skutecznoœæ ataku wybranego oddzia³u podczas walki na odleg³oœæ.

Dwa razy skuteczniejsze ni¿ zaklêcie Precyzja - poziom podstawowy."	"{Precyzja - poziom mistrzowski}

Zwiêksza skutecznoœæ ataku wszystkich oddzia³ów podczas walki na odleg³oœæ.

Dwa razy skuteczniejsze ni¿ zaklêcie Precyzja - poziom podstawowy."	 COMBAT_SPELL|CREATURE_TARGET_2
Os³abienie	Os³abienie	2	 	x	 	 	8	6	6	6	0	3	3	6	6	2	2	2	8	4	4	4	4	4	7	7	15	15	"{Os³abienie}

Zmniejsza skutecznoœæ ataku wrogiego oddzia³u.
"	"{Os³abienie - poziom podstawowy}

Zmniejsza skutecznoœæ ataku wrogiego oddzia³u.
"	"{Os³abienie - poziom zaawansowany}

Zmniejsza skutecznoœæ ataku wrogiego oddzia³u.

Dwa razy skuteczniejsze ni¿ zaklêcie Os³abienie - poziom podstawowy."	"{Os³abienie - poziom mistrzowski}

Zmniejsza skutecznoœæ ataku wszystkich wrogich oddzia³ów.

Dwa razy skuteczniejsze ni¿ zaklêcie Os³abienie - poziom podstawowy."	 COMBAT_SPELL|CREATURE_TARGET_2
Kamienna skóra	Kamienna skóra	1	x	 	 	 	5	4	4	4	0	3	3	6	6	5	5	10	5	10	5	10	5	5	7	7	15	15	"{Kamienna skóra}

Zwiêksza skutecznoœæ obrony wybranego oddzia³u.
"	"{Kamienna skóra - poziom podstawowy}

Zwiêksza skutecznoœæ obrony wybranego oddzia³u.
"	"{Kamienna skóra - poziom zaawansowany}

Zwiêksza skutecznoœæ obrony wybranego oddzia³u.

Dwa razy skuteczniejsze ni¿ zaklêcie Kamienna skóra - poziom podstawowy."	"{Kamienna skóra - poziom mistrzowski}

Zwiêksza skutecznoœæ obrony wszystkich oddzia³ów.

Dwa razy skuteczniejsze ni¿ zaklêcie Kamienna skóra - poziom podstawowy."	 COMBAT_SPELL|CREATURE_TARGET_2
Promieñ os³abienia	Prom. Os³abienia	2	 	 	 	x	10	8	8	8	0	3	3	4	5	6	4	6	12	4	6	6	6	8	7	7	15	15	"{Promieñ os³abienia}

Os³abia oddzia³ wroga zmniejszaj¹c jego zdolnoœæ obrony.  Zaklêcie mo¿e byæ u¿yte kilkukrotnie na jednym oddziale.
"	"{Promieñ os³abienia - poziom podstawowy}

Os³abia oddzia³ wroga zmniejszaj¹c jego zdolnoœæ obrony.  zaklêcie mo¿e byæ u¿yte kilkukrotnie na jednym oddziale.
"	"{Promieñ os³abienia - poziom zaawansowany}

Os³abia oddzia³ wroga zmniejszaj¹c jego zdolnoœæ obrony.  zaklêcie mo¿e byæ u¿yte kilkukrotnie na jednym oddziale.

Skutecznoœæ  jest wiêksza ni¿ zaklêcia Promieñ os³abienia - poziom podstawowy."	"{Promieñ os³abienia - poziom mistrzowski}

Os³abia oddzia³ wroga zmniejszaj¹c jego zdolnoœæ obrony.  zaklêcie mo¿e byæ u¿yte kilkukrotnie na jednym oddziale.

Skutecznoœæ  jest wiêksza ni¿ zaklêcia Promieñ os³abienia - poziom zaawansowany."	 COMBAT_SPELL|CREATURE_TARGET_2
Modlitwa	Modlitwa	4	 	x	 	 	16	12	12	12	0	2	2	4	4	10	5	5	0	0	0	0	0	5	8	8	16	16	"{Modlitwa mocy}

Zwiêksza si³ê ataku, si³ê obrony oraz szybkoœæ wybranego oddzia³u.
"	"{Modlitwa - poziom podstawowy}

Zwiêksza si³ê ataku, si³ê obrony oraz szybkoœæ wybranego oddzia³u.
"	"{Modlitwa - poziom zaawansowany}

Zwiêksza si³ê ataku, si³ê obrony oraz szybkoœæ wybranego oddzia³u.

Dwa razy skuteczniejsze ni¿ na poziomie podstawowym."	"{Modlitwa - poziom mistrzowski}

Zwiêksza si³ê ataku, si³ê obrony oraz szybkoœæ wszystkich oddzia³ów.

Dwa razy skuteczniejsze ni¿ na poziomie podstawowym."	 COMBAT_SPELL|CREATURE_TARGET_2
Radoœæ	Radoœæ	3	 	x	 	 	12	9	9	9	0	1	1	2	2	4	4	4	2	4	4	12	2	4	1	1	2	2	"{Radoœæ}

Zwiêksza morale wybranego oddzia³u.
"	"{Radoœæ - poziom podstawowy}

Zwiêksza morale wybranego oddzia³u.
"	"{Radoœæ - poziom zaawansowany}

Zwiêksza morale wybranego oddzia³u.

Dwa razy skuteczniejsze ni¿ na poziomie podstawowym."	"{Radoœæ - poziom mistrzowski}

Zwiêksza morale wszystkich oddzia³ów.

Dwa razy skuteczniejsze ni¿ na poziomie podstawowym.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Przygnêbienie	Przygnêbienie	4	x	 	 	 	16	12	12	12	0	1	1	2	2	5	5	5	5	5	5	0	0	5	1	1	2	2	"{Przygnêbienie}

Zmniejsza morale wybranego oddzia³u wroga.
"	"{Przygnêbienie - poziom podstawowy}

Zmniejsza morale wybranego oddzia³u wroga.
"	"{Przygnêbienie - poziom zaawansowany}

Zmniejsza morale wybranego oddzia³u wroga.

Dwa razy skuteczniejsze ni¿ na poziomie podstawowym."	"{Przygnêbienie - poziom mistrzowski}

Zmniejsza morale wszystkich oddzia³ów wroga.

Dwa razy skuteczniejsze ni¿ na poziomie podstawowym."	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Fortuna	Fortuna	2	 	 	 	x	7	5	5	5	0	1	1	2	2	4	6	4	4	2	2	4	4	2	1	1	2	2	"{Fortuna}

Zwiêksza szczêœcie wybranego oddzia³u.
"	"{Fortuna - poziom podstawowy}

Zwiêksza szczêœcie wybranego oddzia³u.
"	"{Fortuna - poziom zaawansowany}

Zwiêksza szczêœcie wybranego oddzia³u.

Dwa razy skuteczniejsze ni¿ na poziomie podstawowym."	"{Fortuna - poziom mistrzowski}

Zwiêksza szczêœcie wszystkich oddzia³ów.

Dwa razy skuteczniejsze ni¿ na poziomie podstawowym."	 COMBAT_SPELL|CREATURE_TARGET_2
Pech	Pech	3	 	 	x	 	12	9	9	9	0	1	1	2	2	4	4	4	6	8	4	4	2	4	1	1	2	2	"{Pech}

Zmniejsza szczêœcie wybranego oddzia³u wroga.
"	"{Pech - poziom podstawowy}

Zmniejsza szczêœcie wybranego oddzia³u wroga.

Kosztuje o po³owê mniej ni¿ na poziomie normalnym."	"{Pech - poziom zaawansowany}

Zmniejsza szczêœcie wybranego oddzia³u wroga.

Dwa razy skuteczniejsze ni¿ na poziomie podstawowym."	"{Pech - poziom mistrzowski}

Zmniejsza szczêœcie wszystkich oddzia³ów wroga.

Dwa razy skuteczniejsze ni¿ na poziomie podstawowym."	 COMBAT_SPELL|CREATURE_TARGET_2
Przyœpieszenie	Przyœpieszenie	1		 	 	x	6	5	5	5	0	3	3	5	5	5	10	5	5	5	10	5	10	10	5	5	10	10	"{Przyœpieszenie}

Zwiêksza szybkoœæ (zasiêg) wybranego oddzia³u.
"	"{Przyœpieszenie - poziom podstawowy}

Zwiêksza szybkoœæ  (zasiêg) wybranego oddzia³u."	"{Przyœpieszenie - poziom zaawansowany}

Zwiêksza szybkoœæ  (zasiêg)  wybranego oddzia³u.

Prawie dwa razy skuteczniejsze ni¿ na poziomie podstawowym."	"{Przyœpieszenie - poziom mistrzowski}

Zwiêksza szybkoœæ  (zasiêg) wszystkich oddzia³ów.

Prawie dwa razy skuteczniejsze ni¿ na poziomie podstawowym."	 COMBAT_SPELL|CREATURE_TARGET_2
Spowolnienie	Spowolnienie	1	x	 	 	 	6	5	5	5	0	75	75	50	50	5	10	10	10	5	5	5	5	10	5	5	15	15	"{Spowolnienie}

Zmniejsza szybkoœæ  (zasiêg) wybranego oddzia³u wroga.
"	"{Spowolnienie - poziom podstawowy}

Zmniejsza szybkoœæ  (zasiêg) wybranego oddzia³u wroga.
"	"{Spowolnienie - poziom zaawansowany}

Zmniejsza szybkoœæ  (zasiêg) wybranego oddzia³u wroga.

Dwa razy skuteczniejsze ni¿ na poziomie podstawowym."	"{Spowolnienie - poziom mistrzowski}

Zmniejsza szybkoœæ  (zasiêg) wszystkich oddzia³ów wroga.

Dwa razy skuteczniejsze ni¿ na poziomie podstawowym."	 COMBAT_SPELL|CREATURE_TARGET_2
Pogromca	Pogromca	4	 		x	 	16	12	12	12	0	8	8	8	8	5	5	5	5	5	5	0	0	5	1	1	1	1	"{Pogromca}

Zwiêksza si³ê ataku wybranego oddzia³u podczas walki ze smokami, behemotami i hydrami."	"{Pogromca - poziom podstawowy}

Zwiêksza si³ê ataku wybranego oddzia³u podczas walki ze smokami, behemotami i hydrami.
"	"{Pogromca - poziom zaawansowany}

Zwiêksza si³ê ataku wybranego oddzia³u podczas walki ze smokami, behemotami, hydrami, diab³ami i anio³ami.
"	"{Pogromca - poziom mistrzowski}

Zwiêksza si³ê ataku wybranego oddzia³u podczas walki ze smokami, behemotami, hydrami, diab³ami, anio³ami i tytanami.
"	 COMBAT_SPELL|CREATURE_TARGET
Sza³	Sza³	4	 	 	x	 	16	12	12	12	0	100	100	150	200	5	5	5	5	5	5	0	0	5	10	10	20	30	"{Sza³}

Zmniejsza skutecznoœæ obrony wybranego oddzia³u zwiêkszaj¹c równoczeœnie si³ê jego ataku."	"{Sza³ - poziom podstawowy}

Zmniejsza skutecznoœæ obrony wybranego oddzia³u zwiêkszaj¹c równoczeœnie si³ê jego ataku.
"	"{Sza³ - poziom zaawansowany}

Zmniejsza skutecznoœæ obrony wybranego oddzia³u zwiêkszaj¹c równoczeœnie si³ê jego ataku.

O po³owê bardziej skuteczne ni¿ na poziomie podstawowym."	"{Sza³ - poziom mistrzowski}

Zmniejsza skutecznoœæ obrony wybranego oddzia³u zwiêkszaj¹c równoczeœnie si³ê jego ataku.

Dwa razy skuteczniejsze ni¿ na poziomie podstawowym."	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
B³yskawica tytana	B³yskawica tytana	5				x	0	0	0	0	0	600	600	600	600	0	0	0	0	0	0	0	0	0	75	75	75	75	"{B³yskawica tytana}

Zadaje 600 punktów obra¿eñ. nie kosztuje nic tego, kto je rzuca."	"{B³yskawica tytana}

Zadaje 600 punktów obra¿eñ, nie kosztuje nic tego, kto je rzuca."	"{B³yskawica tytana}

Zadaje 600 punktów obra¿eñ. Nie kosztuje nic rzucaj¹cego"	"{B³yskawica tytana}

Zadaje 600 punktów obra¿eñ, nie kosztuje nic tego, kto je rzuca."	
Kontratak	Kontratak	4	 	 	 	x	24	20	20	20	0	1	1	2	2	5	10	5	5	5	5	0	0	5	20	20	30	30	"{Kontratak}

Wybrany oddzia³ bêdzie mia³ szansê wykonaæ jeden kontratak wiêcej na turê."	"{Kontratak - poziom podstawowy}

Wybrany oddzia³ bêdzie mia³ szansê wykonaæ jeden kontratak wiêcej na turê."	"{Kontratak - poziom zaawansowany}

Wybrany oddzia³ bêdzie mia³ szansê wykonaæ dwa dodatkowe kontrataki na turê."	"{Kontratak - poziom mistrzowski}

Wybrany oddzia³ bêdzie mia³ szansê wykonaæ dwa dodatkowe kontrataki na turê."	 COMBAT_SPELL|CREATURE_TARGET_2
