Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
Serafin	Serafiny	0	0	0	0	0	4	10000	18250	26300	1	0	500	18	40	40	75	75	0	2	2	5	"+1(+2) morale. Wskrzesza 2x. Nieustr. Powstrz. kontratak"	DOUBLE_WIDE | FLYING_ARMY | const_raises_morale | KING_2 | const_free_attack
Diamentowy Smok	Diamentowe Smoki	0	0	0	0	3	0	8000	18750	25500	1	0	500	16	36	36	60	75	0	0	2	5	"Odp. na zaklêcia. Nieustr. Oœlepia. +1 klejnot dziennie"	DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
Gromow³adny	Gromow³adni	0	0	0	0	0	3	10000	15000	22500	1	0	600	12	32	32	60	75	24	24	2	5	"Strzela x2. Nieustr. Walczy wrêcz +piorun. Tarcza powietrza"	SHOOTING_ARMY | const_no_melee_penalty | KING_3
Antychryst	Antychryœci	0	3	0	0	0	0	9000	19250	25700	1	0	400	17	35	37	45	60	0	0	2	5	"-1(-2) szczêœcie. Nieustr. Zabiera duszê. Powstrz. kontratak"	FLYING_ARMY | KING_2
Krwawy Smok	Krwawe Smoki	0	2	0	0	0	0	6000	12000	15000	1	0	400	14	25	23	38	75	0	0	2	5	"Nieumar³y. -1(-2) morale. Nieustr. Wysysa krew. Postarza"	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
Smok Cienia	Smoki Cienia	0	0	0	3	0	0	8000	20000	26000	1	0	600	15	33	33	60	75	0	0	2	5	"Odp. na zaklêcia. Nieustr. Wzbudza strach. Wraca na miejsce. Ciemnoœæ"	DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK | const_free_attack
Widmowy Behemot	Widmowe Behemoty	0	0	0	0	2	0	6000	16250	18250	1	0	600	11	25	25	45	75	0	0	2	5	"+1(+2) szczêœcie. Lekcewa¿y obronê. Kontr. x2. Ignoruje przeszkody"	DOUBLE_WIDE | KING_1
Piekielna Hydra	Piekielne Hydry	0	0	0	2	0	0	7000	15750	17750	1	0	500	10	25	27	38	68	0	0	2	5	"Pluje kwasem. Regeneracja. Nieustr. Powstrz. kontratak"	DOUBLE_WIDE | KING_1 | MULTI_HEADED | SHOOTING_ARMY | const_free_attack
Œwiêty Feniks	Œwiête Feniksy	0	3	0	0	0	0	5000	17750	23000	1	0	400	21	28	28	45	60	0	1	2	5	"Odp. na czary ognia. Pogromca. Odradza x2. Tarcza ogniowa"	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
Duch	Duchy	0	0	0	0	0	0	500	150	250	8	0	5	8	11	8	1	2	0	0	16	30	"Przyci¹ga martwe dusze."	IS_UNDEAD | IS_GHOST | FLYING_ARMY
Emisariusz Wojny	Emisariusze Wojny	0	0	0	0	0	0	30000	10	20000	0	0	2000	4	0	10	0	0	0	0	0	0	"Zwiêksza cotygodniowo Atak bohatera o 1-3"	
Emisariusz Pokoju	Emisariusze Pokoju	0	0	0	0	0	0	30000	10	20000	0	0	2000	4	0	10	0	0	0	0	0	0	"Zwiêksza cotygodniowo Obronê bohatera o 1-3"	
Emisariusz Mocy	Emisariusze Mocy	0	0	0	0	0	0	30000	10	20000	0	0	2000	4	0	10	0	0	0	0	0	0	"Zwiêksza cotygodniowo Moc bohatera o 1-3"	
Emisariusz Wiedzy	Emisariusze Wiedzy	0	0	0	0	0	0	30000	10	20000	0	0	2000	4	0	10	0	0	0	0	0	0	"Zwiêksza cotygodniowo Wiedzê bohatera o 1-3"	
Pos³aniec Ognia	Pos³añcy Ognia	0	0	0	0	0	0	750	775	775	2	0	70	5	14	12	13	18	0	0	8	10	"Ochr. przed czarami ognia. Nieustraszony."	
Pos³aniec Ziemii	Pos³añcy Ziemii	0	0	0	0	0	0	750	775	775	2	0	70	5	13	14	10	14	0	0	8	10	"Ochr. przed czarami ziemii. Nieustraszony."	
Pos³aniec Powietrza	Pos³añcy Powietrza	0	0	0	0	0	0	750	775	775	2	0	70	6	13	12	10	14	0	0	8	10	"Ochr. przed czarami powietrza. Nieustraszony."	
Pos³aniec Wody	Pos³añcy Wody	0	0	0	0	0	0	750	775	775	2	0	80	5	13	12	10	14	0	0	8	10	"Ochr. przed czarami wody. Nieustraszony."	
Gorynicz	Gorynicze	0	0	0	0	0	0	3500	5272	5931	1	0	250	8	20	20	25	45	0	0	2	5	"Atak przyleg³ych wrogów. Nieustr. Powstrz. kontratak"	DOUBLE_WIDE | KING_1 | MULTI_HEADED
Kap³an Wojny	Kap³ani Wojny	0	0	0	0	0	0	600	700	1000	2	0	40	8	14	10	10	12	24	0	6	10	"Magiczne Zwierciad³o. Nieustr. Brak ogr. w walce wrêcz."	SHOOTING_ARMY | const_no_melee_penalty
Arktyczny Strzelec	Arktyczni Strzelcy	0	0	0	0	0	0	500	500	700	3	0	15	9	13	10	8	10	32	0	8	12	"Brak ogr. za odleg³oœæ lub os³onê. Nieustr. Tarcza powietrza"	SHOOTING_ARMY | const_no_wall_penalty
Wulkaniczny Strzelec	Wulkaniczni Strzelcy	0	0	0	0	0	0	500	500	700	3	0	15	9	12	11	8	10	32	0	8	12	"Brak ogr. za odleg³oœæ lub os³onê. Nie zna lêku. Tarcza ogniowa."	SHOOTING_ARMY | const_no_wall_penalty
Zmora	Zmory	0	0	0	0	0	0	1500	2050	2400	2	0	110	9	18	16	20	24	0	0	5	10	"Spojrzenie Œmierci. Nieustr. Odp. na czary umys³u"	DOUBLE_WIDE
Gremlino³aj	Gremlino³aje	0	0	0	0	0	0	200	500	200	1	0	5	5	5	5	2	3	0	1000	20	50	"Atak Lodowym pociskiem. Obdarza prezentami. Wzywa stra¿ników."	0
Palladyn	Palladyni	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Pustelnik	Pustelnicy	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Westalka	Westalki	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Sukkub	Sukkubi	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Po¿eracz Dusz	Po¿eracze Dusz	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Oprawca	Oprawcy	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Przywódca Ogrów	Przywódcy Ogrów	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Szaman	Szamani	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
¯ywio³ak Kosmosu	¯ywio³aki Kosmosu	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Paladyn	Paladyni	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Pustelnik	Pustelnicy	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Westalka	Westalki	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Sukkub	Sukkuby	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Po¿eracz Dusz	Po¿eracze Dusz	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Oprawca	Oprawcy	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Przywódca Ogrów	Przywódcy Ogrów	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Szaman	Szamani	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
¯ywio³ak Kosmosu	¯ywio³aki Kosmosu	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Sylwañski Centaur	Sylwañskie Centaury	0	0	0	0	0	0	250	250	400	7	0	15	8	10	5	4	6	24	0	10	15	Strzela x2.
Przynosi szczêœcie.	SHOOTING_ARMY | const_two_attacks
Czarodziejka	Czarodziejki	0	0	0	0	0	0	600	200	1150	2	0	35	8	15	13	10	13	24	0	5	12	Rzuca zaklêcia ofensywne.	SHOOTING_ARMY
Wilko³ak	Wilko³aki	0	0	0	0	0	0	300	460	460	4	0	35	7	10	12	6	9	0	0	10	20	Likantropia (x2 gdy pe³nia).
Berserk podczas pe³ni: dni 14-16	0
Piekielny Rumak	Piekielne Rumaki	0	0	0	0	0	0	1100	1850	2150	2	0	100	8	15	15	18	24	0	0	5	10	Tarcza Ogniowa. Œciana Ognia.
Odp. na czary ognia.	DOUBLE_WIDE
Drakolicz	Drakolicze	0	15	0	0	0	0	25000	40000	55000	1	1	800	16	45	45	50	80	5	0	1	3	Nieumar³y. -1 morale wroga. 20% Magiczna Odp. 20% Blok.	DOUBLE_WIDE
