			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Stone Skin	Stone Skin	1	x	 	 	 	5	4	4	4	0	3	3	6	6	5	5	10	5	10	5	10	5	5	7	7	15	15	"{Stone Skin}

Increases the selected unit's defense strength.
"	"{Basic Stone Skin}

Increases the selected unit's defense strength.
"	"{Advanced Stone Skin}

Increases the selected unit's defense strength.

Effect is twice that of Basic Stone Skin.
"	"{Expert Stone Skin}

Increases the defense strength of all friendly units.

Effect is twice that of Basic Stone Skin.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Disrupting Ray	Disrupting Ray	2	 	 	 	x	10	8	8	8	0	3	3	4	5	6	4	6	12	4	6	6	6	8	7	7	15	15	"{Disrupting Ray}

Reduces the selected enemy unit's defense strength.  A single enemy may be targeted multiple times by this spell.
"	"{Basic Disrupting Ray}

Reduces the selected enemy unit's defense strength.  A single enemy may be targeted multiple times by this spell.
"	"{Advanced Disrupting Ray}

Reduces the selected enemy unit's defense strength.  A single enemy may be targeted multiple times by this spell.

Effect is greater than that of Basic Disrupting Ray.
"	"{Expert Disrupting Ray}

Reduces the selected enemy unit's defense strength.  A single enemy may be targeted multiple times by this spell.

Effect is greater than that of Advanced Disrupting Ray.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Prayer	Prayer	4	 	x	 	 	16	12	12	12	0	2	2	4	4	10	5	5	0	0	0	0	0	5	8	8	16	16	"{Prayer}

Bestows a bonus to the attack strength, defense strength and speed of the selected unit.
"	"{Basic Prayer}

Bestows a bonus to the attack strength, defense strength and speed of the selected unit.
"	"{Advanced Prayer}

Bestows a bonus to the attack strength, defense strength and speed of the selected unit.

Effect is twice that of Basic Prayer.
"	"{Expert Prayer}

Bestows a bonus to the attack strength, defense strength and speed of all friendly units.

Effect is twice that of Basic Prayer.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Mirth	Mirth	3	 	x	 	 	12	9	9	9	0	1	1	2	2	4	4	4	2	4	4	12	2	4	1	1	2	2	"{Mirth}

Increases the selected unit's morale.
"	"{Basic Mirth}

Increases the selected unit's morale.
"	"{Advanced Mirth}

Increases the selected unit's morale.

Effect is twice that of Basic Mirth.
"	"{Expert Mirth}

Increases the morale of all friendly units.

Effect is twice that of Basic Mirth.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Sorrow	Sorrow	4	x	 	 	 	16	12	12	12	0	1	1	2	2	5	5	5	5	5	5	0	0	5	1	1	2	2	"{Sorrow}

Reduces the morale of the selected enemy unit.
"	"{Basic Sorrow}

Reduces the morale of the selected enemy unit.
"	"{Advanced Sorrow}

Reduces the morale of the selected enemy unit.

Effect is twice that of Basic Sorrow.
"	"{Expert Sorrow}

Reduces the morale of all enemy units.

Effect is twice that of Basic Sorrow.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Fortune	Fortune	2	 	 	 	x	7	5	5	5	0	1	1	2	2	4	6	4	4	2	2	4	4	2	1	1	2	2	"{Fortune}

Increases the selected unit's luck.
"	"{Basic Fortune}

Increases the selected unit's luck.
"	"{Advanced Fortune}

Increases the selected unit's luck.

Effect is twice that of Basic Fortune.
"	"{Expert Fortune}

Increases the luck of all friendly units.

Effect is twice that of Basic Fortune.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Misfortune	Misfortune	3	 	 	x	 	12	9	9	9	0	1	1	2	2	4	4	4	6	8	4	4	2	4	1	1	2	2	"{Misfortune}

Reduces the luck of the selected enemy unit.
"	"{Basic Misfortune}

Reduces the luck of the selected enemy unit.

Spell Point cost is half that of Normal Misfortune.
"	"{Advanced Misfortune}

Reduces the luck of the selected enemy unit.

Effect is twice that of Basic Misfortune.
"	"{Expert Misfortune}

Reduces the luck of all enemy units.

Effect is twice that of Basic Misfortune.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Haste	Haste	1		 	 	x	6	5	5	5	0	3	3	5	5	5	10	5	5	5	10	5	10	10	5	5	10	10	"{Haste}

Increases the speed of the selected unit.
"	"{Basic Haste}

Increases the speed of the selected unit.
"	"{Advanced Haste}

Increases the speed of the selected unit.

Effect is nearly twice that of Basic Haste.
"	"{Expert Haste}

Increases the speed of all friendly units.

Effect is nearly twice that of Basic Haste.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Slow	Slow	1	x	 	 	 	6	5	5	5	0	75	75	50	50	5	10	10	10	5	5	5	5	10	5	5	15	15	"{Slow}

Reduces the speed of the selected enemy unit.
"	"{Basic Slow}

Reduces the speed of the selected enemy unit.
"	"{Advanced Slow}

Reduces the speed of the selected enemy unit.

Effect is twice that of Basic Slow.
"	"{Expert Slow}

Reduces the speed of all enemy units.

Effect is twice that of Basic Slow.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Slayer	Slayer	4	 		x	 	16	12	12	12	0	8	8	8	8	5	5	5	5	5	5	0	0	5	1	1	1	1	"{Slayer}

Increases the amount of damage inflicted by a unit when fighting against Dragons, Behemoths and Hydras.
"	"{Basic Slayer}

Increases the amount of damage inflicted by a unit when fighting against Dragons, Behemoths and Hydras.
"	"{Advanced Slayer}

Increases the amount of damage inflicted by a unit when fighting against Dragons, Behemoths, Hydras, Devils and Angels.
"	"{Expert Slayer}

Increases the amount of damage inflicted by a unit when fighting against Dragons, Behemoths, Hydras, Devils, Angels and Titans.
"	 COMBAT_SPELL|CREATURE_TARGET
Frenzy	Frenzy	4	 	 	x	 	16	12	12	12	0	100	100	150	200	5	5	5	5	5	5	0	0	5	10	10	20	30	"{Frenzy}

Selected troop intentionally lowers its defenses to increase the ferocity of its attack.
"	"{Basic Frenzy}

Selected troop intentionally lowers its defenses to increase the ferocity of its attack.
"	"{Advanced Frenzy}

Selected troop intentionally lowers its defenses to increase the ferocity of its attack.

Bonus to attack is 50% greater than Basic Frenzy.
"	"{Expert Frenzy}

Selected troop intentionally lowers its defenses to increase the ferocity of its attack.

Bonus to attack is double Basic Frenzy.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Fear ( disabled )	Fear ( disabled )	4	 	 	 	 	16	8	8	8	0	75	75	50	25	0	0	0	0	0	0	0	0	0	50	50	50	50	"{Fear}

Strikes an enemy unit with such fear that it becomes unable to attack and nearly unable to move.
"	"{Basic Fear}

Strikes an enemy unit with such fear that it becomes unable to attack and nearly unable to move.

Spell Point cost is half that of Normal Fear.
"	"{Advanced Fear}

Strikes an enemy unit with such fear that it becomes unable to attack and nearly unable to move.

Penalty to movement is twice that of Basic Fear.
"	"{Expert Fear}

Strikes an enemy unit with such fear that it becomes unable to attack and nearly unable to move.

Penalty to movement is three times that of Basic Fear.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Counterstrike	Counterstrike	4	 	 	 	x	24	20	20	20	0	1	1	2	2	5	10	5	5	5	5	0	0	5	20	20	30	30	"{Counterstrike}

The selected unit will retaliate against one additional attack each round.
"	"{Basic Counterstrike}

The selected unit will retaliate against one additional attack each round.
"	"{Advanced Counterstrike}

The selected unit will retaliate against two additional attacks each round.
"	"{Expert Counterstrike}

All friendly units will retaliate against two additional attacks each round.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Berserk	Berserk	4	 	 	x	 	20	16	16	16	0	0	0	1	2	5	5	5	5	10	5	0	0	5	60	60	60	60	"{Berserk}

The targeted unit will randomly attack the nearest unit, be it friend or foe.
"	"{Basic Berserk}

The targeted unit will randomly attack the nearest unit, be it friend or foe.
"	"{Advanced Berserk}

The targeted unit will randomly attack the nearest unit, be it friend or foe.

Area of effect is six hexes greater than Basic Berserk.
"	"{Expert Berserk}

The targeted unit will randomly attack the nearest unit, be it friend or foe.

Area of effect is eighteen hexes greater than Basic Berserk.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Hypnotize	Hypnotize	3	 	 	 	x	18	15	15	15	25	10	10	20	50	4	4	8	6	0	8	4	4	12	25	25	50	100	"{Hypnotize}

Puts an enemy unit temporarily under your control.
"	"{Basic Hypnotize}

Puts an enemy unit temporarily under your control.
"	"{Advanced Hypnotize}

Puts an enemy unit temporarily under your control.

Allows you to control an additional 10 hit points of enemies over Basic Hypnotize.
"	"{Expert Hypnotize}

Puts an enemy unit temporarily under your control.

Allows you to control an additional 40 hit points of enemies over Basic Hypnotize.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Forgetfulness	Forgetfulness	3	 	x	 	 	12	9	9	9	0	0	0	0	0	8	8	4	4	4	4	4	4	8	1	1	1	1	"{Forgetfulness}

Half of the selected enemy unit forgets to use its ranged attack.
"	"{Basic Forgetfulness}

Half of the selected enemy unit forgets to use its ranged attack.
"	"{Advanced Forgetfulness}

Causes the selected enemy unit to forget to use its ranged attack in combat.
"	"{Expert Forgetfulness}

Causes all enemy troops to forget to use their ranged attack in combat.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Blind	Blind	2	 	 	x	 	10	8	8	8	0	50	50	25	0	4	6	2	12	4	4	4	6	8	50	50	50	50	"{Blind}

Blinds a creature so that it cannot move and causes it to counterattack at half its normal attack strength.  Blindness persists until the unit is attacked or dispelled.
"	"{Basic Blind}

Blinds a creature so that it cannot move and causes it to counterattack at half its normal attack strength.  Blindness persists until the unit is attacked or dispelled.
"	"{Advanced Blind}

Blinds a creature so that it cannot move and causes it to counterattack at one-quarter of its normal attack strength.  Blindness persists until the unit is attacked or dispelled.
"	"{Expert Blind}

Blinds a creature so that it cannot move or counterattack.  Blindness persists until the unit is attacked or dispelled.
"	 COMBAT_SPELL|CREATURE_TARGET
Teleport	Teleport	3	 	x	 	 	15	12	6	3	0	0	0	0	0	8	8	8	8	8	8	8	10	8	20	20	20	20	"{Teleport}

Teleports any friendly unit to any unoccupied spot on the battlefield.
"	"{Basic Teleport}

Teleports any friendly unit to an unoccupied spot on the battlefield.

Troop cannot teleport over walls or moats.
"	"{Advanced Teleport}

Teleports any friendly unit to an unoccupied spot on the battlefield.

Troop cannot teleport over walls.
"	"{Expert Teleport}

Teleports any friendly unit to any unoccupied spot on the battlefield.
"	 COMBAT_SPELL|CREATURE_TARGET
Remove Obstacle	Remove Obstacle	2	 	x	 	 	7	5	5	5	0	0	0	0	0	4	4	6	4	4	4	4	4	4	1	1	1	1	"{Remove Obstacle}

Removes any normal obstacle (trees, rocks, etc.) of the caster's choice from the battlefield.
"	"{Basic Remove Obstacle}

Removes any normal obstacle (trees, rocks, etc.) of the caster's choice from the battlefield.
"	"{Advanced Remove Obstacle}

Removes any normal obstacle (trees, rocks, etc.) or Fire Wall of the caster's choice from the battlefield.
"	"{Expert Remove Obstacle}

Removes any normal or magical obstacle of the caster's choice from the battlefield.
"	 COMBAT_SPELL|OBSTACLE_TARGET
Clone	Clone	4	 	x	 	 	24	20	20	20	0	5	5	6	7	5	5	10	5	5	5	0	0	10	20	20	40	50	"{Clone}

Creates a duplicate of the selected unit stack.  The image is dispelled if it is attacked.

Clones creatures of levels 1-5.
"	"{Basic Clone}

Creates a duplicate of the selected unit stack.  The image is dispelled if it is attacked.

Clones creatures of levels 1-5.
"	"{Advanced Clone}

Creates a duplicate of the selected unit stack.  The image is dispelled if it is attacked.

Clones creatures of levels 1-6.
"	"{Expert Clone}

Creates a duplicate of the selected unit stack.  The image is dispelled if it is attacked.

Clones creatures of any level.
"	 COMBAT_SPELL|CREATURE_TARGET
Fire Elemental	Fire Elemental	5			x		25	20	20	20	0	2	2	3	4	0	0	0	16	0	12	0	0	12	50	50	100	150	"{Summon Fire Elemental}

Allows you to summon fire elementals.  Once cast, no other elemental types may be summoned.
"	"{Basic Summon Fire Elemental}

Allows you to summon fire elementals.  Once cast, no other elemental types may be summoned.
"	"{Advanced Summon Fire Elemental}

Allows you to summon fire elementals.  Once cast, no other elemental types may be summoned.

Summons approximately one-and-a-half times the number of units as Basic Summon Fire Elemental.
"	"{Expert Summon Fire Elemental}

Allows you to summon fire elementals.  Once cast, no other elemental types may be summoned.

Summons approximately twice the number of units as Basic Summon Fire Elemental.
"	 COMBAT_SPELL
Earth Elemental	Earth Elemental	5	x				25	20	20	20	0	2	2	3	4	0	16	14	16	16	12	0	0	12	50	50	100	150	"{Summon Earth Elemental}

Allows you to summon earth elementals.  Once cast, no other elemental types may be summoned.
"	"{Basic Summon Earth Elemental}

Allows you to summon earth elementals.  Once cast, no other elemental types may be summoned.
"	"{Advanced Summon Earth Elemental}

Allows you to summon earth elementals.  Once cast, no other elemental types may be summoned.

Summons approximately one-and-a-half times the number of units as Basic Summon Creature.
"	"{Expert Summon Earth Elemental}

Allows you to summon earth elementals.  Once cast, no other elemental types may be summoned.

Summons approximately twice the number of units as Basic Summon Creature.
"	 COMBAT_SPELL
Water Elemental	Water Elemental	5		x			25	20	20	20	0	2	2	3	4	0	16	14	0	0	12	0	0	12	50	50	100	150	"{Summon Water Elemental}

Allows you to summon water elementals.  Once cast, no other elemental types may be summoned.
"	"{Basic Summon Water Elemental}

Allows you to summon water elementals.  Once cast, no other elemental types may be summoned.
"	"{Advanced Summon Water Elemental}

Allows you to summon water elementals.  Once cast, no other elemental types may be summoned.

Summons approximately one-and-a-half times the number of units as Basic Summon Water Elemental.
"	"{Expert Summon Water Elemental}

Allows you to summon water elementals.  Once cast, no other elemental types may be summoned.

Summons approximately twice the number of units as Basic Summon Water Elemental.
"	 COMBAT_SPELL
Air Elemental	Air Elemental	5				x	25	20	20	20	0	2	2	3	4	0	0	14	0	16	0	0	0	12	50	50	100	150	"{Summon Air Elemental}

Allows you to summon air elementals.  Once cast, no other elemental types may be summoned.
"	"{Basic Summon Air Elemental}

Allows you to summon air elementals.  Once cast, no other elemental types may be summoned.
"	"{Advanced Summon Air Elemental}

Allows you to summon air elementals.  Once cast, no other elemental types may be summoned.

Summons approximately one-and-a-half times the number of units as Basic Summon Air Elemental.
"	"{Expert Summon Air Elemental}

Allows you to summon air elementals.  Once cast, no other elemental types may be summoned.

Summons approximately twice the number of units as Basic Summon Air Elemental.
"	 COMBAT_SPELL
																																	
Creature Abilities																																	
																																	
Stone Gaze	Stone Gaze	3					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Poison	Poison	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Bind	Bind	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Disease	Disease	2					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Paralyze	Paralyze	4					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Age	Age	5					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Death Cloud	Death Cloud	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Thunderbolt	Thunderbolt	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Dispel Helpful Spells	Dispel Helpful Spells	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Death Stare	Death Stare	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Acid breath	Acid Breath	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
